anio,trimestre,provincia_id,accesos
2017,1,PR21,612749
2017,1,PR22,97561
2017,1,PR23,38724
2017,1,PR24,124655
2017,2,PR01,2580455
2017,2,PR02,708949
2017,2,PR03,40448
2017,2,PR04,91455
2017,2,PR05,72663
2017,2,PR06,1019606
2017,2,PR07,93029
2017,2,PR08,162496
2017,2,PR09,47888
2017,2,PR10,84568
2017,2,PR11,99285
2017,2,PR12,24114
2017,2,PR13,113243
2017,2,PR14,123028
2017,2,PR15,110681
2017,2,PR16,58240
2017,2,PR17,256395
2017,2,PR18,40621
2017,2,PR19,54893
2017,2,PR20,50140
2017,2,PR21,618927
2017,2,PR22,97231
2017,2,PR23,38896
2017,2,PR24,179233
2017,3,PR01,2571840
2017,3,PR02,707800
2017,3,PR03,40773
2017,3,PR04,90293
2017,3,PR05,70166
2017,3,PR06,1024289
2017,3,PR07,93730
2017,3,PR08,165363
2017,3,PR09,49376
2017,3,PR10,84664
2017,3,PR11,99694
2017,3,PR12,23965
2017,3,PR13,113715
2017,3,PR14,125110
2017,3,PR15,109995
2017,3,PR16,57889
2017,3,PR17,254908
2017,3,PR18,39530
2017,3,PR19,62617
2017,3,PR20,47927
2017,3,PR21,615939
2017,3,PR22,97936
2017,3,PR23,39928
2017,3,PR24,179573
2017,4,PR01,2656799
2017,4,PR02,740372
2017,4,PR03,29391
2017,4,PR04,101423
2017,4,PR05,71048
2017,4,PR06,1040718
2017,4,PR07,105842
2017,4,PR08,209564
2017,4,PR09,49087
2017,4,PR10,87008
2017,4,PR11,84075
2017,4,PR12,23707
2017,4,PR13,113934
2017,4,PR14,133485
2017,4,PR15,77174
2017,4,PR16,90862
2017,4,PR17,176445
2017,4,PR18,39494
2017,4,PR19,62682
2017,4,PR20,50206
2017,4,PR21,628931
2017,4,PR22,96330
2017,4,PR23,40083
2017,4,PR24,117365
2018,1,PR01,2654174
2018,1,PR02,741516
2018,1,PR03,89005
2018,1,PR04,109742
2018,1,PR05,72825
2018,1,PR06,1104478
2018,1,PR07,105865
2018,1,PR08,210310
2018,1,PR09,52510
2018,1,PR10,88658
2018,1,PR11,83823
2018,1,PR12,23758
2018,1,PR13,88337
2018,1,PR14,134351
2018,1,PR15,77047
2018,1,PR16,90018
2018,1,PR17,175454
2018,1,PR18,37444
2018,1,PR19,61967
2018,1,PR20,53152
2018,1,PR21,623481
2018,1,PR22,96378
2018,1,PR23,40301
2018,1,PR24,117582
2018,2,PR01,2662857
2018,2,PR02,742742
2018,2,PR03,78493
2018,2,PR04,108493
2018,2,PR05,74729
2018,2,PR06,1114481
2018,2,PR07,100369
2018,2,PR08,211237
2018,2,PR09,52060
2018,2,PR10,89913
2018,2,PR11,82552
2018,2,PR12,22865
2018,2,PR13,89146
2018,2,PR14,134960
2018,2,PR15,78776
2018,2,PR16,87667
2018,2,PR17,169029
2018,2,PR18,47920
2018,2,PR19,57243
2018,2,PR20,53338
2018,2,PR21,615398
2018,2,PR22,96384
2018,2,PR23,41093
2018,2,PR24,119017
2018,3,PR01,2698193
2018,3,PR02,755552
2018,3,PR03,83185
2018,3,PR04,99165
2018,3,PR05,89855
2018,3,PR06,1077148
2018,3,PR07,101211
2018,3,PR08,206993
2018,3,PR09,59888
2018,3,PR10,91767
2018,3,PR11,83258
2018,3,PR12,24018
2018,3,PR13,117513
2018,3,PR14,135350
2018,3,PR15,80391
2018,3,PR16,95213
2018,3,PR17,176000
2018,3,PR18,45075
2018,3,PR19,55302
2018,3,PR20,56779
2018,3,PR21,630700
2018,3,PR22,108875
2018,3,PR23,46296
2018,3,PR24,125823
2018,4,PR01,2670842
2018,4,PR02,750996
2018,4,PR03,33545
2018,4,PR04,99927
2018,4,PR05,90602
2018,4,PR06,1056763
2018,4,PR07,102243
2018,4,PR08,208263
2018,4,PR09,58868
2018,4,PR10,98704
2018,4,PR11,81403
2018,4,PR12,24839
2018,4,PR13,117382
2018,4,PR14,137821
2018,4,PR15,80025
2018,4,PR16,91252
2018,4,PR17,176841
2018,4,PR18,43605
2018,4,PR19,55183
2018,4,PR20,56941
2018,4,PR21,599124
2018,4,PR22,105239
2018,4,PR23,46184
2018,4,PR24,125380
2019,1,PR01,2687325
2019,1,PR02,789185
2019,1,PR03,33116
2019,1,PR04,107090
2019,1,PR05,90677
2019,1,PR06,1057252
2019,1,PR07,101354
2019,1,PR08,210247
2019,1,PR09,56736
2019,1,PR10,87894
2019,1,PR11,81351
2019,1,PR12,25931
2019,1,PR13,140501
2019,1,PR14,137541
2019,1,PR15,80031
2019,1,PR16,90118
2019,1,PR17,174728
2019,1,PR18,44083
2019,1,PR19,53561
2019,1,PR20,56833
2019,1,PR21,599988
2019,1,PR22,109220
2019,1,PR23,45852
2019,1,PR24,118638
2019,2,PR01,2687146
2019,2,PR02,810521
2019,2,PR03,33085
2019,2,PR04,108529
2019,2,PR05,87680
2019,2,PR06,1063751
2019,2,PR07,108390
2019,2,PR08,211624
2019,2,PR09,61107
2019,2,PR10,88550
2019,2,PR11,83122
2019,2,PR12,25887
2019,2,PR13,139687
2019,2,PR14,141493
2019,2,PR15,79179
2019,2,PR16,108723
2019,2,PR17,185491
2019,2,PR18,43355
2019,2,PR19,53561
2019,2,PR20,52539
2019,2,PR21,603033
2019,2,PR22,108956
2019,2,PR23,45811
2019,2,PR24,117489
2019,3,PR01,2737691
2019,3,PR02,862488
2019,3,PR03,40830
2019,3,PR04,111542
2019,3,PR05,70308
2019,3,PR06,1104134
2019,3,PR07,109035
2019,3,PR08,216331
2019,3,PR09,59066
2019,3,PR10,91428
2019,3,PR11,82596
2019,3,PR12,20088
2019,3,PR13,103899
2019,3,PR14,143508
2019,3,PR15,77398
2019,3,PR16,111471
2019,3,PR17,188437
2019,3,PR18,30778
2019,3,PR19,49555
2019,3,PR20,48075
2019,3,PR21,655582
2019,3,PR22,89673
2019,3,PR23,42866
2019,3,PR24,109911
2019,4,PR01,2824205
2019,4,PR02,896441
2019,4,PR03,41031
2019,4,PR04,114313
2019,4,PR05,69894
2019,4,PR06,1113585
2019,4,PR07,109763
2019,4,PR08,220415
2019,4,PR09,59153
2019,4,PR10,95103
2019,4,PR11,81047
2019,4,PR12,18979
2019,4,PR13,102375
2019,4,PR14,144435
2019,4,PR15,76801
2019,4,PR16,110594
2019,4,PR17,189127
2019,4,PR18,29520
2019,4,PR19,48422
2019,4,PR20,47954
2019,4,PR21,658150
2019,4,PR22,89885
2019,4,PR23,41577
2019,4,PR24,113416
2020,1,PR01,2955174
2020,1,PR02,741539
2020,1,PR03,39338
2020,1,PR04,114564
2020,1,PR05,67422
2020,1,PR06,1062830
2020,1,PR07,110100
2020,1,PR08,220527
2020,1,PR09,59239
2020,1,PR10,97650
2020,1,PR11,79897
2020,1,PR12,18853
2020,1,PR13,103132
2020,1,PR14,143352
2020,1,PR15,78339
2020,1,PR16,109833
2020,1,PR17,187051
2020,1,PR18,30303
2020,1,PR19,47659
2020,1,PR20,43321
2020,1,PR21,670943
2020,1,PR22,88946
2020,1,PR23,41493
2020,1,PR24,110406
2020,2,PR01,2915498
2020,2,PR02,738178
2020,2,PR03,40214
2020,2,PR04,117601
2020,2,PR05,64113
2020,2,PR06,1098162
2020,2,PR07,111516
2020,2,PR08,218562
2020,2,PR09,59290
2020,2,PR10,97761
2020,2,PR11,80878
2020,2,PR12,19297
2020,2,PR13,102654
2020,2,PR14,142174
2020,2,PR15,79434
2020,2,PR16,111595
2020,2,PR17,202609
2020,2,PR18,33129
2020,2,PR19,45905
2020,2,PR20,43719
2020,2,PR21,672663
2020,2,PR22,90102
2020,2,PR23,41920
2020,2,PR24,97161
2020,3,PR01,2952288
2020,3,PR02,741443
2020,3,PR03,40786
2020,3,PR04,119932
2020,3,PR05,65855
2020,3,PR06,1093908
2020,3,PR07,114038
2020,3,PR08,235140
2020,3,PR09,60169
2020,3,PR10,109266
2020,3,PR11,79243
2020,3,PR12,19678
2020,3,PR13,104996
2020,3,PR14,137953
2020,3,PR15,80161
2020,3,PR16,112475
2020,3,PR17,203833
2020,3,PR18,33664
2020,3,PR19,45793
2020,3,PR20,44577
2020,3,PR21,690129
2020,3,PR22,91593
2020,3,PR23,42403
2020,3,PR24,110110
2020,4,PR01,2973620
2020,4,PR02,757638
2020,4,PR03,42098
2020,4,PR04,118021
2020,4,PR05,73236
2020,4,PR06,1073026
2020,4,PR07,111852
2020,4,PR08,216322
2020,4,PR09,59584
2020,4,PR10,109703
2020,4,PR11,79521
2020,4,PR12,23695
2020,4,PR13,106491
2020,4,PR14,138446
2020,4,PR15,79485
2020,4,PR16,111495
2020,4,PR17,203833
2020,4,PR18,33755
2020,4,PR19,45791
2020,4,PR20,44340
2020,4,PR21,684675
2020,4,PR22,92329
2020,4,PR23,42442
2020,4,PR24,111110
