anio,trimestre,provincia_id,accesos100hab,accesos100hog
2020,2,PR03,8.2,32.25
2020,2,PR04,6.96,26.03
2020,2,PR05,12.41,40.5
2020,2,PR06,14.83,48.44
2020,2,PR07,7.79,29.57
2020,2,PR08,13.24,44.28
2020,2,PR09,5.81,22.84
2020,2,PR10,7.22,28.24
2020,2,PR11,19.71,59.83
2020,2,PR12,7.51,28.2
2020,2,PR13,10.25,36.73
2020,2,PR14,7.01,25.73
2020,2,PR15,11.47,38.52
2020,2,PR16,11.8,38.37
2020,2,PR17,7.38,30.49
2020,2,PR18,9.89,38.82
2020,2,PR19,6.96,24.34
2020,2,PR20,7.72,25.93
2020,2,PR21,17.33,55.1
2020,2,PR22,6.84,27.57
2020,2,PR23,13.19,44.5
2020,2,PR24,10.8,43.6
2020,3,PR01,18.4,55.56
2020,3,PR02,46.58,112.41
2020,3,PR03,8.08,31.75
2020,3,PR04,6.84,25.6
2020,3,PR05,11.75,38.34
2020,3,PR06,14.59,47.64
2020,3,PR07,7.69,29.22
2020,3,PR08,13.06,43.69
2020,3,PR09,5.75,22.6
2020,3,PR10,6.0,23.46
2020,3,PR11,19.65,59.65
2020,3,PR12,7.46,28.01
2020,3,PR13,9.85,35.3
2020,3,PR14,7.03,25.83
2020,3,PR15,11.19,37.6
2020,3,PR16,11.38,36.99
2020,3,PR17,7.23,29.84
2020,3,PR18,9.56,37.54
2020,3,PR19,6.76,23.62
2020,3,PR20,7.43,24.97
2020,3,PR21,17.63,56.08
2020,3,PR22,6.77,27.28
2020,3,PR23,12.39,41.79
2020,3,PR24,10.72,43.26
2020,4,PR01,18.35,55.28
2020,4,PR02,46.28,111.79
2020,4,PR03,8.04,31.61
2020,4,PR04,6.71,25.09
2020,4,PR05,11.72,38.22
2020,4,PR06,14.17,46.28
2020,4,PR07,7.59,28.81
2020,4,PR08,12.87,43.03
2020,4,PR09,5.61,22.04
2020,4,PR10,5.9,23.07
2020,4,PR11,19.64,59.6
2020,4,PR12,7.41,27.82
2020,4,PR13,9.83,35.21
2020,4,PR14,6.77,24.85
2020,4,PR15,11.17,37.52
2020,4,PR16,11.25,36.56
2020,4,PR17,7.1,29.3
2020,4,PR18,9.54,37.44
2020,4,PR19,6.74,23.55
2020,4,PR20,7.37,24.78
2020,4,PR21,16.7,53.1
2020,4,PR22,6.75,27.21
2020,4,PR23,12.31,41.53
2020,4,PR24,10.65,42.99
2021,1,PR01,18.32,55.58
2021,1,PR02,45.39,109.28
2021,1,PR03,6.42,25.24
2021,1,PR04,6.32,23.63
2021,1,PR05,11.87,38.72
2021,1,PR06,13.98,45.65
2021,1,PR07,7.06,26.79
2021,1,PR08,12.19,40.77
2021,1,PR09,5.18,20.35
2021,1,PR10,5.59,21.87
2021,1,PR11,19.91,60.42
2021,1,PR12,6.19,23.25
2021,1,PR13,9.9,35.47
2021,1,PR14,6.53,23.98
2021,1,PR15,11.25,37.8
2021,1,PR16,11.1,36.1
2021,1,PR17,6.78,28.01
2021,1,PR18,9.61,37.74
2021,1,PR19,6.8,23.77
2021,1,PR20,7.43,24.95
2021,1,PR21,16.16,51.4
2021,1,PR22,6.38,25.69
2021,1,PR23,12.54,42.3
2021,1,PR24,9.67,39.03
2021,2,PR01,13.65,41.31
2021,2,PR02,27.67,66.68
2021,2,PR03,6.44,25.34
2021,2,PR04,6.3,23.56
2021,2,PR05,11.82,38.57
2021,2,PR06,13.31,43.49
2021,2,PR07,7.19,27.3
2021,2,PR08,12.17,40.7
2021,2,PR09,5.31,20.86
2021,2,PR10,4.77,18.67
2021,2,PR11,19.91,60.42
2021,2,PR12,5.69,21.37
2021,2,PR13,9.86,35.33
2021,2,PR14,6.45,23.67
2021,2,PR15,11.2,37.63
2021,2,PR16,11.26,36.6
2021,2,PR17,6.76,27.92
2021,2,PR18,9.59,37.64
2021,2,PR19,6.78,23.69
2021,2,PR20,7.39,24.84
2021,2,PR21,15.71,49.96
2021,2,PR22,6.02,24.26
2021,2,PR23,12.46,42.04
2021,2,PR24,8.27,33.37
