anio,trimestre,provincia_id,tv_sus_100hab,tv_sus_100hog
2020,1,PR23,24.12,81.36
2020,1,PR24,6.54,26.4
2020,2,PR01,16.63,50.34
2020,2,PR02,24.0,57.85
2020,2,PR03,9.69,38.08
2020,2,PR04,9.77,36.56
2020,2,PR05,10.37,33.84
2020,2,PR06,29.23,95.46
2020,2,PR07,9.96,37.81
2020,2,PR08,15.78,52.78
2020,2,PR09,9.8,38.52
2020,2,PR10,12.69,49.64
2020,2,PR11,22.58,68.53
2020,2,PR12,4.91,18.44
2020,2,PR13,5.16,18.5
2020,2,PR14,11.28,41.42
2020,2,PR15,11.97,40.23
2020,2,PR16,14.94,48.58
2020,2,PR17,14.24,58.79
2020,2,PR18,4.24,16.66
2020,2,PR19,9.04,31.59
2020,2,PR20,11.98,40.26
2020,2,PR21,19.03,60.53
2020,2,PR22,9.22,37.14
2020,2,PR23,24.22,81.69
2020,2,PR24,5.74,23.17
2020,3,PR01,16.8,50.73
2020,3,PR02,24.1,58.16
2020,3,PR03,9.8,38.54
2020,3,PR04,9.94,37.19
2020,3,PR05,10.61,34.61
2020,3,PR06,29.04,94.86
2020,3,PR07,10.16,38.59
2020,3,PR08,16.94,56.66
2020,3,PR09,9.93,39.01
2020,3,PR10,14.15,55.33
2020,3,PR11,22.08,67.01
2020,3,PR12,4.99,18.74
2020,3,PR13,5.27,18.87
2020,3,PR14,10.92,40.08
2020,3,PR15,12.05,40.47
2020,3,PR16,15.01,48.81
2020,3,PR17,14.28,58.97
2020,3,PR18,4.3,16.89
2020,3,PR19,8.99,31.41
2020,3,PR20,12.14,40.8
2020,3,PR21,19.49,61.98
2020,3,PR22,9.35,37.66
2020,3,PR23,24.35,82.13
2020,3,PR24,6.48,26.18
2020,4,PR01,16.88,50.85
2020,4,PR02,24.62,59.48
2020,4,PR03,10.1,39.7
2020,4,PR04,9.76,36.51
2020,4,PR05,11.75,38.34
2020,4,PR06,28.42,92.81
2020,4,PR07,9.94,37.77
2020,4,PR08,15.55,52.01
2020,4,PR09,9.81,38.56
2020,4,PR10,14.17,55.4
2020,4,PR11,22.11,67.11
2020,4,PR12,5.99,22.5
2020,4,PR13,5.33,19.09
2020,4,PR14,10.93,40.12
2020,4,PR15,11.91,40.0
2020,4,PR16,14.84,48.23
2020,4,PR17,14.24,58.78
2020,4,PR18,4.3,16.89
2020,4,PR19,8.96,31.32
2020,4,PR20,12.0,40.33
2020,4,PR21,19.3,61.38
2020,4,PR22,9.4,37.87
2020,4,PR23,24.22,81.71
2020,4,PR24,6.52,26.34
2021,1,PR01,16.57,49.78
2021,1,PR02,24.07,58.22
2021,1,PR03,10.23,40.24
2021,1,PR04,9.76,36.52
2021,1,PR05,11.69,38.13
2021,1,PR06,28.67,93.65
2021,1,PR07,10.03,38.1
2021,1,PR08,15.89,53.16
2021,1,PR09,9.94,39.06
2021,1,PR10,13.76,53.82
2021,1,PR11,22.22,67.45
2021,1,PR12,4.96,18.62
2021,1,PR13,5.3,18.99
2021,1,PR14,10.87,39.92
2021,1,PR15,11.7,39.29
2021,1,PR16,14.68,47.74
2021,1,PR17,14.2,58.63
2021,1,PR18,4.31,16.93
2021,1,PR19,8.89,31.08
2021,1,PR20,11.9,40.0
2021,1,PR21,19.33,61.46
2021,1,PR22,16.2,65.27
2021,1,PR23,23.85,80.43
2021,1,PR24,6.47,26.12
2021,2,PR01,16.58,49.7
2021,2,PR02,24.09,58.32
2021,2,PR03,10.23,40.2
2021,2,PR04,9.65,36.1
2021,2,PR05,11.76,38.37
2021,2,PR06,28.27,92.34
2021,2,PR07,9.97,37.88
2021,2,PR08,15.93,53.29
2021,2,PR09,9.94,39.07
2021,2,PR10,13.67,53.47
2021,2,PR11,22.07,67.0
2021,2,PR12,5.09,19.13
2021,2,PR13,5.41,19.39
2021,2,PR14,11.01,40.43
2021,2,PR15,11.63,39.07
2021,2,PR16,14.68,47.74
2021,2,PR17,13.57,56.03
2021,2,PR18,4.28,16.79
2021,2,PR19,8.89,31.05
2021,2,PR20,11.32,38.06
2021,2,PR21,18.95,60.28
2021,2,PR22,16.4,66.08
2021,2,PR23,23.77,80.18
2021,2,PR24,6.66,26.9
2021,3,PR01,16.78,50.19
2021,3,PR02,24.21,58.69
2021,3,PR03,10.38,40.8
2021,3,PR04,9.49,35.49
2021,3,PR05,11.84,38.64
2021,3,PR06,29.06,94.91
2021,3,PR07,10.22,38.82
2021,3,PR08,17.42,58.25
2021,3,PR09,10.83,42.57
2021,3,PR10,13.82,54.05
2021,3,PR11,22.4,67.98
2021,3,PR12,5.19,19.49
2021,3,PR13,5.58,20.0
2021,3,PR14,11.0,40.38
2021,3,PR15,11.56,38.84
2021,3,PR16,14.79,48.08
2021,3,PR17,16.83,69.51
2021,3,PR18,4.3,16.88
2021,3,PR19,8.99,31.41
2021,3,PR20,11.23,37.74
2021,3,PR21,23.12,73.52
2021,3,PR22,19.26,77.62
2021,3,PR23,23.79,80.26
2021,3,PR24,6.6,26.64
2021,4,PR01,16.89,50.38
2021,4,PR02,24.22,58.79
2021,4,PR03,10.68,42.01
2021,4,PR04,9.61,35.97
2021,4,PR05,12.1,39.48
2021,4,PR06,29.33,95.8
2021,4,PR07,10.27,39.01
2021,4,PR08,16.34,54.64
2021,4,PR09,11.01,43.27
2021,4,PR10,13.84,54.13
2021,4,PR11,22.72,68.95
2021,4,PR12,6.39,24.01
2021,4,PR13,5.73,20.53
2021,4,PR14,10.9,40.03
2021,4,PR15,11.35,38.12
2021,4,PR16,14.62,47.53
2021,4,PR17,14.24,58.79
2021,4,PR18,4.22,16.59
2021,4,PR19,8.98,31.37
2021,4,PR20,11.02,37.05
2021,4,PR21,20.89,66.45
2021,4,PR22,19.23,77.49
2021,4,PR23,23.65,79.76
2021,4,PR24,6.39,25.79
2022,1,PR01,16.7,49.7
2022,1,PR02,24.19,58.78
2022,1,PR03,11.18,43.97
2022,1,PR04,9.78,36.61
2022,1,PR05,12.22,39.88
2022,1,PR06,29.41,96.05
2022,1,PR07,11.54,43.83
2022,1,PR08,16.29,54.48
2022,1,PR09,10.97,43.1
2022,1,PR10,14.01,54.78
2022,1,PR11,21.65,65.7
2022,1,PR12,5.91,22.19
2022,1,PR13,5.96,21.37
2022,1,PR14,10.88,39.96
2022,1,PR15,11.21,37.67
2022,1,PR16,14.13,45.94
2022,1,PR17,14.86,61.35
2022,1,PR18,4.34,17.02
2022,1,PR19,8.96,31.32
2022,1,PR20,10.98,36.9
2022,1,PR21,20.78,66.1
2022,1,PR22,14.63,58.96
2022,1,PR23,23.68,79.88
2022,1,PR24,6.92,27.93
2022,2,PR01,16.76,49.77
2022,2,PR02,24.18,58.82
2022,2,PR03,12.35,48.55
2022,2,PR04,9.95,37.24
2022,2,PR05,12.39,40.43
2022,2,PR06,29.77,97.25
2022,2,PR07,11.63,44.16
2022,2,PR08,16.32,54.59
2022,2,PR09,10.96,43.07
2022,2,PR10,14.28,55.86
2022,2,PR11,21.41,64.98
2022,2,PR12,5.97,22.41
2022,2,PR13,6.4,22.95
2022,2,PR14,11.07,40.64
2022,2,PR15,11.14,37.43
2022,2,PR16,14.05,45.67
2022,2,PR17,14.65,60.5
2022,2,PR18,4.69,18.4
2022,2,PR19,9.06,31.65
2022,2,PR20,10.97,36.86
2022,2,PR21,20.91,66.49
2022,2,PR22,14.89,60.0
2022,2,PR23,23.39,78.89
2022,2,PR24,7.65,30.89
2022,3,PR01,16.75,49.6
2022,3,PR02,24.12,58.73
2022,3,PR03,12.36,48.58
2022,3,PR04,9.9,37.06
2022,3,PR05,12.48,40.73
