anio,trimestre,provincia_id,tecnologia_id,accesos
2022,1,PR22,TEC1,18118
2022,1,PR23,TEC1,13031
2022,1,PR24,TEC1,92532
2022,2,PR01,TEC1,350652
2022,2,PR02,TEC1,145491
2022,2,PR03,TEC1,11928
2022,2,PR04,TEC1,29552
2022,2,PR05,TEC1,45377
2022,2,PR06,TEC1,179181
2022,2,PR07,TEC1,38468
2022,2,PR08,TEC1,63794
2022,2,PR09,TEC1,15397
2022,2,PR10,TEC1,20303
2022,2,PR11,TEC1,7796
2022,2,PR12,TEC1,7759
2022,2,PR13,TEC1,37663
2022,2,PR14,TEC1,37208
2022,2,PR15,TEC1,29749
2022,2,PR16,TEC1,36050
2022,2,PR17,TEC1,42665
2022,2,PR18,TEC1,38570
2022,2,PR19,TEC1,6860
2022,2,PR20,TEC1,10170
2022,2,PR21,TEC1,198492
2022,2,PR22,TEC1,16561
