anio,trimestre,provincia_id,Accesos_cada_100_hogares,Accesos_cada_100_habitantes
2019,1,PR16,53.57,16.48
2019,1,PR17,40.1,9.71
2019,1,PR18,31.83,8.11
2019,1,PR19,67.34,19.27
2019,1,PR20,23.67,7.04
2019,1,PR21,66.97,21.06
2019,1,PR22,37.52,9.31
2019,1,PR23,93.38,27.68
2019,1,PR24,41.63,10.31
2019,2,PR01,67.85,22.22
2019,2,PR02,110.55,46.09
2019,2,PR03,32.13,8.17
2019,2,PR04,34.14,9.13
2019,2,PR05,46.99,14.4
2019,2,PR06,68.07,20.84
2019,2,PR07,38.16,10.05
2019,2,PR08,57.48,17.19
2019,2,PR09,30.42,7.74
2019,2,PR10,44.51,11.38
2019,2,PR11,77.08,25.4
2019,2,PR12,48.7,12.97
2019,2,PR13,40.75,11.37
2019,2,PR14,39.15,10.66
2019,2,PR15,63.08,18.78
2019,2,PR16,61.09,18.79
2019,2,PR17,41.89,10.15
2019,2,PR18,35.6,9.07
2019,2,PR19,81.79,23.41
2019,2,PR20,28.85,8.58
2019,2,PR21,67.42,21.2
2019,2,PR22,52.79,13.1
2019,2,PR23,94.8,28.11
2019,2,PR24,40.14,9.94
2019,3,PR01,69.36,22.76
2019,3,PR02,112.65,46.9
2019,3,PR03,30.88,7.86
2019,3,PR04,35.85,9.58
2019,3,PR05,47.57,14.58
2019,3,PR06,68.59,21.0
2019,3,PR07,38.49,10.13
2019,3,PR08,57.9,17.31
2019,3,PR09,30.11,7.66
2019,3,PR10,44.32,11.33
2019,3,PR11,77.45,25.52
2019,3,PR12,47.94,12.76
2019,3,PR13,40.74,11.37
2019,3,PR14,39.33,10.71
2019,3,PR15,64.14,19.09
2019,3,PR16,63.42,19.51
2019,3,PR17,44.48,10.77
2019,3,PR18,37.06,9.44
2019,3,PR19,85.23,24.39
2019,3,PR20,35.63,10.6
2019,3,PR21,68.87,21.66
2019,3,PR22,55.3,13.73
2019,3,PR23,96.46,28.6
2019,3,PR24,39.49,9.78
2019,4,PR01,64.25,21.14
2019,4,PR02,106.25,44.19
2019,4,PR03,36.44,9.27
2019,4,PR04,36.84,9.85
2019,4,PR05,51.15,15.68
2019,4,PR06,70.48,21.58
2019,4,PR07,38.77,10.21
2019,4,PR08,57.99,17.34
2019,4,PR09,30.47,7.76
2019,4,PR10,45.38,11.6
2019,4,PR11,76.92,25.34
2019,4,PR12,47.14,12.55
2019,4,PR13,33.65,9.39
2019,4,PR14,39.79,10.84
2019,4,PR15,59.36,17.67
2019,4,PR16,55.71,17.13
2019,4,PR17,50.35,12.2
2019,4,PR18,32.85,8.37
2019,4,PR19,74.92,21.44
2019,4,PR20,36.71,10.92
2019,4,PR21,69.48,21.85
2019,4,PR22,42.92,10.65
2019,4,PR23,79.7,23.63
2019,4,PR24,47.65,11.8
2020,1,PR01,64.33,21.21
2020,1,PR02,105.98,44.02
2020,1,PR03,37.62,9.57
2020,1,PR04,37.48,10.02
2020,1,PR05,51.27,15.72
2020,1,PR06,70.69,21.64
2020,1,PR07,38.73,10.2
2020,1,PR08,56.12,16.78
2020,1,PR09,30.23,7.69
2020,1,PR10,46.67,11.93
2020,1,PR11,75.77,24.96
2020,1,PR12,46.35,12.34
2020,1,PR13,33.14,9.25
2020,1,PR14,39.02,10.63
2020,1,PR15,61.85,18.41
2020,1,PR16,55.12,16.95
2020,1,PR17,49.6,12.01
2020,1,PR18,32.39,8.25
2020,1,PR19,76.31,21.84
2020,1,PR20,35.97,10.7
2020,1,PR21,69.52,21.86
2020,1,PR22,42.47,10.54
2020,1,PR23,76.07,22.55
2020,1,PR24,47.85,11.85
2020,2,PR01,65.22,21.55
2020,2,PR02,106.41,44.15
2020,2,PR03,45.43,11.56
2020,2,PR04,39.83,10.65
2020,2,PR05,57.34,17.58
2020,2,PR06,72.71,22.26
2020,2,PR07,40.3,10.61
2020,2,PR08,56.54,16.9
2020,2,PR09,31.14,7.93
2020,2,PR10,47.89,12.25
2020,2,PR11,76.1,25.07
2020,2,PR12,49.84,13.27
2020,2,PR13,36.25,10.12
2020,2,PR14,40.89,11.14
2020,2,PR15,63.9,19.02
2020,2,PR16,56.37,17.34
2020,2,PR17,51.58,12.49
2020,2,PR18,35.09,8.94
2020,2,PR19,78.41,22.44
2020,2,PR20,35.79,10.65
2020,2,PR21,70.0,22.01
2020,2,PR22,43.47,10.79
2020,2,PR23,76.37,22.64
2020,2,PR24,51.78,12.83
2020,3,PR01,67.66,22.41
2020,3,PR02,107.68,44.62
2020,3,PR03,47.16,12.0
2020,3,PR04,41.54,11.1
2020,3,PR05,68.34,20.95
2020,3,PR06,75.22,23.03
2020,3,PR07,41.75,10.99
2020,3,PR08,58.19,17.4
2020,3,PR09,31.91,8.12
2020,3,PR10,54.04,13.82
2020,3,PR11,79.26,26.12
2020,3,PR12,50.12,13.34
2020,3,PR13,37.35,10.42
2020,3,PR14,41.6,11.33
2020,3,PR15,65.24,19.42
2020,3,PR16,57.05,17.55
2020,3,PR17,52.32,12.67
2020,3,PR18,38.79,9.88
2020,3,PR19,79.96,22.88
2020,3,PR20,35.95,10.7
2020,3,PR21,72.12,22.68
2020,3,PR22,43.38,10.76
2020,3,PR23,76.81,22.77
2020,3,PR24,53.23,13.18
2020,4,PR01,68.98,22.9
2020,4,PR02,108.31,44.83
2020,4,PR03,49.41,12.57
2020,4,PR04,43.03,11.5
2020,4,PR05,68.35,20.95
2020,4,PR06,78.08,23.9
2020,4,PR07,42.43,11.17
2020,4,PR08,59.47,17.78
2020,4,PR09,32.49,8.27
2020,4,PR10,53.46,13.67
2020,4,PR11,81.77,26.94
2020,4,PR12,50.11,13.34
2020,4,PR13,38.63,10.78
2020,4,PR14,42.64,11.61
2020,4,PR15,67.0,19.94
2020,4,PR16,61.09,18.79
2020,4,PR17,54.04,13.09
2020,4,PR18,36.32,9.25
2020,4,PR19,81.68,23.38
2020,4,PR20,37.0,11.01
2020,4,PR21,73.58,23.14
2020,4,PR22,43.75,10.86
2020,4,PR23,76.27,22.61
2020,4,PR24,54.78,13.57
2021,1,PR01,69.11,23.0
2021,1,PR02,108.42,44.83
2021,1,PR03,48.9,12.44
2021,1,PR04,43.14,11.53
2021,1,PR05,68.99,21.15
2021,1,PR06,78.59,24.06
2021,1,PR07,42.66,11.23
2021,1,PR08,60.44,18.07
2021,1,PR09,32.73,8.33
2021,1,PR10,55.63,14.23
2021,1,PR11,81.78,26.94
2021,1,PR12,49.81,13.26
2021,1,PR13,39.15,10.93
2021,1,PR14,43.17,11.76
2021,1,PR15,66.84,19.9
2021,1,PR16,60.88,18.72
2021,1,PR17,53.93,13.06
2021,1,PR18,39.06,9.95
2021,1,PR19,81.24,23.25
2021,1,PR20,41.65,12.39
2021,1,PR21,73.92,23.24
2021,1,PR22,45.67,11.33
2021,1,PR23,77.35,22.93
2021,1,PR24,54.82,13.58
2021,2,PR01,70.0,23.35
2021,2,PR02,110.14,45.49
2021,2,PR03,52.34,13.31
2021,2,PR04,43.33,11.58
2021,2,PR05,72.29,22.16
2021,2,PR06,80.12,24.53
2021,2,PR07,43.54,11.47
2021,2,PR08,61.66,18.44
2021,2,PR09,33.23,8.46
2021,2,PR10,56.18,14.37
2021,2,PR11,82.08,27.04
2021,2,PR12,76.98,20.49
2021,2,PR13,40.97,11.43
2021,2,PR14,45.01,12.26
2021,2,PR15,69.14,20.58
2021,2,PR16,61.94,19.05
2021,2,PR17,54.93,13.3
2021,2,PR18,39.28,10.01
2021,2,PR19,83.48,23.89
2021,2,PR20,44.01,13.1
2021,2,PR21,75.07,23.6
2021,2,PR22,46.56,11.55
2021,2,PR23,67.89,20.13
2021,2,PR24,54.93,13.61
2021,3,PR01,71.68,23.97
2021,3,PR02,111.27,45.9
2021,3,PR03,52.71,13.41
2021,3,PR04,42.96,11.48
2021,3,PR05,80.71,24.74
2021,3,PR06,81.28,24.89
2021,3,PR07,44.9,11.82
2021,3,PR08,62.18,18.59
2021,3,PR09,33.96,8.64
2021,3,PR10,55.69,14.24
2021,3,PR11,84.28,27.77
2021,3,PR12,77.26,20.57
2021,3,PR13,45.55,12.71
2021,3,PR14,45.57,12.41
2021,3,PR15,69.71,20.75
2021,3,PR16,61.97,19.06
2021,3,PR17,55.96,13.55
2021,3,PR18,39.46,10.05
2021,3,PR19,79.87,22.86
2021,3,PR20,43.75,13.02
2021,3,PR21,75.02,23.59
2021,3,PR22,47.0,11.66
2021,3,PR23,94.95,28.15
2021,3,PR24,54.64,13.53
2021,4,PR01,75.66,25.36
2021,4,PR02,111.27,45.85
2021,4,PR03,55.25,14.05
2021,4,PR04,44.05,11.77
2021,4,PR05,82.57,25.31
2021,4,PR06,84.51,25.87
2021,4,PR07,45.51,11.98
2021,4,PR08,63.16,18.88
2021,4,PR09,34.45,8.77
2021,4,PR10,56.92,14.56
2021,4,PR11,89.57,29.51
2021,4,PR12,77.92,20.74
2021,4,PR13,47.51,13.26
2021,4,PR14,49.06,13.36
2021,4,PR15,73.3,21.82
2021,4,PR16,65.69,20.21
2021,4,PR17,56.81,13.76
2021,4,PR18,39.59,10.08
2021,4,PR19,80.3,22.98
2021,4,PR20,43.05,12.81
2021,4,PR21,77.09,24.24
2021,4,PR22,47.05,11.68
2021,4,PR23,98.4,29.17
2021,4,PR24,55.93,13.85
2022,1,PR01,76.08,25.56
2022,1,PR02,111.8,46.01
2022,1,PR03,58.21,14.81
2022,1,PR04,44.06,11.78
2022,1,PR05,88.05,26.99
2022,1,PR06,85.76,26.26
2022,1,PR07,47.64,12.55
2022,1,PR08,63.7,19.05
2022,1,PR09,34.96,8.9
2022,1,PR10,58.06,14.85
2022,1,PR11,91.66,30.2
2022,1,PR12,78.77,20.97
2022,1,PR13,48.74,13.6
